,lr,plsr,rf,svr,nn
hsv,0.336,0.335,0.709,0.626,0.726
soci,0.419,0.419,0.447,0.269,0.431
ibs,0.501,0.501,0.564,0.394,0.536
ikaw,0.18,0.18,0.209,0.04,0.209
rgri,0.091,0.091,0.129,-0.052,0.122
difgb,0.219,0.219,0.461,0.285,0.46
difgr,0.121,0.121,0.169,0.017,0.168
ColFeatInd,0.121,0.121,0.171,0.026,0.172
RI,0.541,0.541,0.6,0.426,0.585
CI,0.085,0.085,0.129,-0.052,0.122
SI,0.002,0.002,0.008,-0.068,0.007
BI,0.238,0.238,0.504,0.332,0.503
HI,0.026,0.026,0.059,-0.046,0.043
rn,0.01,0.01,0.035,-0.067,0.033
gn,0.256,0.256,0.354,0.154,0.343
bn,0.022,0.022,0.025,-0.059,0.023
ngrdi,0.085,0.085,0.129,-0.052,0.125
difNorGB,0.167,0.167,0.227,0.057,0.225
h,0.296,0.296,0.587,0.421,0.587
s,0.002,0.002,0.008,-0.068,0.007
v,0.237,0.237,0.466,0.293,0.463
hsv,0.336,0.333,0.708,0.626,0.726
hsv-si,0.663,0.638,0.724,0.594,0.726
si,0.663,0.636,0.723,0.592,0.734
